No,,Ligação,,,Transporte de passageiros,
"",,Denominação,ida pass,,volta pass pass total,pass.km
"",CENTRO-OESTE,,358.046,,376.954 735.000,279.930.428
"",,,,,,
001,ANAPOLIS (GO) - CUIABA (MT),,1.945,,1.632 3.577,3.604.789
002,ANAPOLIS (GO) - PALMAS (TO),,442,,450 892,726.891
003,BRASILIA (DF) - ANAPOLIS (GO),,46.779,,56.056 102.835,16.484.451
004,BRASILIA (DF) - CAMPO GRANDE (MS),,3.188,,4.032 7.220,10.383.787
005,BRASILIA (DF) - CUIABA (MT),,13.151,,11.354 24.505,28.230.814
006,BRASILIA (DF) - GOIANIA (GO),,206.827,,217.989 424.816,89.022.711
007,BRASILIA (DF) - PALMAS (TO),,41,,36 77,74.012
008,BRASILIA (DF) - RONDONOPOLIS (MT),,2.172,,2.255 4.427,4.155.625
009,CAMPO GRANDE (MS) - CUIABA (MT),,31.264,,29.091 60.355,42.924.476
010,CAMPO GRANDE (MS) - GOIANIA (GO),,9.074,,8.972 18.046,16.885.857
011,CAMPO GRANDE (MS) - PALMAS (TO),,698,,696 1.394,2.490.799
012,CAMPO GRANDE (MS) - RONDONOPOLIS (MT),,14.120,,15.736 29.856,14.898.144
013,CUIABA (MT) - GOIANIA (GO),,17.744,,17.747 35.491,33.829.292
014,GOIANIA (GO) - PALMAS (TO),,1.497,,1.446 2.943,2.514.426
015,GOIANIA (GO) - RONDONOPOLIS (MT),,8.875,,9.190 18.065,13.307.362
016,RONDONOPOLIS (MT) - ANAPOLIS (GO),,229,,272 501,396.992
"",NORDESTE,,1.636.857,,1.609.412 3.246.269,950.975.559
"",,,,,,
017,ARACAJU (SE) - CAMPINA GRANDE (PB),,2.977,,3.189 6.166,3.552.039
018,ARACAJU (SE) - CARUARU (PE),,5.196,,5.303 10.499,4.508.767
019,ARACAJU (SE) - ITABUNA (BA),,3.575,,4.875 8.450,5.898.523
020,ARACAJU (SE) - JOAO PESSOA (PB),,5.337,,4.930 10.267,6.221.802
021,ARACAJU (SE) - JUAZEIRO DO NORTE (CE),,783,,766 1.549,1.077.175
022,ARACAJU (SE) - MACEIO (AL),,40.857,,41.471 82.328,23.582.403
023,ARACAJU (SE) - NATAL (RN),,5.184,,4.700 9.884,8.434.005
024,CAMPINA GRANDE (PB) - CARUARU (PE),,9.318,,9.227 18.545,2.757.642
025,CAMPINA GRANDE (PB) - ITABUNA (BA),,338,,20 358,434.379
026,CAMPINA GRANDE (PB) - JUAZEIRO DO NORTE (CE),,2.381,,3.050 5.431,2.767.638
027,CAMPINA GRANDE (PB) - PETROLINA (PE),,1.955,,1.941 3.896,3.052.126
028,CARUARU (PE) - JOAO PESSOA (PB),,286,,271 557,136.187
029,CARUARU (PE) - JUAZEIRO (BA),,3.706,,3.484 7.190,4.591.534
030,CARUARU (PE) - JUAZEIRO DO NORTE (CE),,1.907,,1.675 3.582,1.939.295
031,CARUARU (PE) - MACEIO (AL),,11.092,,11.219 22.311,4.227.935
032,CARUARU (PE) - NATAL (RN),,2.584,,2.810 5.394,2.293.529
033,CARUARU (PE) - SAO LUIS (MA),,2.447,,2.386 4.833,6.878.809
034,CARUARU (PE) - TERESINA (PI),,851,,802 1.653,1.648.702
035,CRATO (CE) - CARUARU (PE),,10,,9 19,10.418
036,CRATO (CE) - JOAO PESSOA (PB),,739,,683 1.422,907.663
037,CRATO (CE) - JUAZEIRO (BA),,1.645,,1.598 3.243,1.124.414
038,CRATO (CE) - MOSSORO (RN),,5,,4 9,4.052
039,CRATO (CE) - NATAL (RN),,1.182,,1.108 2.290,1.523.691
040,CRATO (CE) - PETROLINA (PE),,1.683,,1.641 3.324,1.144.073
041,CRATO (CE) - SAO LUIS (MA),,786,,725 1.511,1.506.014
042,FORTALEZA (CE) - ARACAJU (SE),,2.416,,109 2.525,3.320.375
043,FORTALEZA (CE) - CAMPINA GRANDE (PB),,6.378,,5.726 12.104,8.624.100
044,FORTALEZA (CE) - CARUARU (PE),,6.710,,5.791 12.501,12.042.213
045,FORTALEZA (CE) - GARANHUNS (PE),,836,,27 863,705.416
046,FORTALEZA (CE) - JOAO PESSOA (PB),,12.482,,11.184 23.666,16.386.338
047,FORTALEZA (CE) - MACEIO (AL),,3.070,,2.220 5.290,5.515.883
048,FORTALEZA (CE) - MOSSORO (RN),,30.230,,21.374 51.604,13.024.850
049,FORTALEZA (CE) - NATAL (RN),65.380,57.912,123.292,66.318.767
050,FORTALEZA (CE) - PARNAIBA (PI),15.883,16.148,32.031,15.773.099
051,FORTALEZA (CE) - PETROLINA (PE),4.068,455,4.523,3.796.455
052,FORTALEZA (CE) - RECIFE (PE),13.868,10.664,24.532,19.782.605
053,FORTALEZA (CE) - SALVADOR (BA),6.787,6.923,13.710,18.323.942
054,FORTALEZA (CE) - SAO LUIS (MA),10.501,9.802,20.303,20.795.880
055,FORTALEZA (CE) - TERESINA (PI),38.919,41.632,80.551,48.282.269
056,FORTALEZA (CE) - VITORIA DA CONQUISTA (BA),1.285,591,1.876,3.060.711
057,GARANHUNS (PE) - MACEIO (AL),6.703,6.720,13.423,2.593.142
058,GARANHUNS (PE) - NATAL (RN),618,523,1.141,600.622
059,GARANHUNS (PE) - VITORIA DA CONQUISTA (BA),952,893,1.845,2.056.728
060,ITABUNA (BA) - TEIXEIRA DE FREITAS (BA),8.165,4.924,13.089,4.846.857
061,JOAO PESSOA (PB) - ITABUNA (BA),119,126,245,303.310
062,JOAO PESSOA (PB) - JUAZEIRO DO NORTE (CE),2.846,3.290,6.136,3.888.125
063,JOAO PESSOA (PB) - MOSSORO (RN),3.376,3.635,7.011,3.126.906
064,JUAZEIRO (BA) - SAO LUIS (MA),10,11,21,22.243
065,JUAZEIRO DO NORTE (CE) - JUAZEIRO (BA),2.579,2.438,5.017,1.951.312
066,JUAZEIRO DO NORTE (CE) - MACEIO (AL),3.716,3.690,7.406,5.413.775
067,JUAZEIRO DO NORTE (CE) - MOSSORO (RN),8,7,15,6.650
068,JUAZEIRO DO NORTE (CE) - NATAL (RN),2.238,2.130,4.368,2.878.949
069,JUAZEIRO DO NORTE (CE) - PETROLINA (PE),2.112,2.005,4.117,1.566.223
070,JUAZEIRO DO NORTE (CE) - SAO LUIS (MA),216,5,221,224.006
071,MACEIO (AL) - CAMPINA GRANDE (PB),1.633,1.644,3.277,1.103.038
072,MACEIO (AL) - CRATO (CE),934,931,1.865,1.420.861
073,MACEIO (AL) - ITABUNA (BA),337,277,614,599.387
074,MACEIO (AL) - JOAO PESSOA (PB),4.748,4.384,9.132,3.369.708
075,MOSSORO (RN) - ARACAJU (SE),402,92,494,527.839
076,MOSSORO (RN) - CAMPINA GRANDE (PB),1.085,859,1.944,906.098
077,MOSSORO (RN) - GARANHUNS (PE),73,6,79,45.101
078,MOSSORO (RN) - MACEIO (AL),318,260,578,460.204
079,MOSSORO (RN) - VITORIA DA CONQUISTA (BA),194,149,343,519.233
080,NATAL (RN) - CAMPINA GRANDE (PB),15.346,16.782,32.128,9.246.407
081,NATAL (RN) - JOAO PESSOA (PB),53.177,59.644,112.821,20.702.654
082,NATAL (RN) - MACEIO (AL),3.913,3.451,7.364,4.514.868
083,PETROLINA (PE) - JUAZEIRO (BA),451.707,483.101,934.808,17.293.948
084,PETROLINA (PE) - MACEIO (AL),278,255,533,415.900
085,RECIFE (PE) - ARACAJU (SE),26.727,27.185,53.912,26.697.222
086,RECIFE (PE) - CAMPINA GRANDE (PB),38.947,38.737,77.684,18.844.040
087,RECIFE (PE) - CRATO (CE),3.495,2.857,6.352,4.246.947
088,RECIFE (PE) - GARANHUNS (PE),1.282,1.174,2.456,547.934
089,RECIFE (PE) - JOAO PESSOA (PB),260.240,246.761,507.001,65.200.329
090,RECIFE (PE) - JUAZEIRO (BA),11.648,11.499,23.147,17.566.258
091,RECIFE (PE) - JUAZEIRO DO NORTE (CE),4.172,3.420,7.592,5.023.626
092,RECIFE (PE) - MACEIO (AL),85.152,82.940,168.092,44.660.450
093,RECIFE (PE) - MOSSORO (RN),2.672,2.863,5.535,3.099.600
094,RECIFE (PE) - NATAL (RN),45.344,45.146,90.490,26.920.775
095,RECIFE (PE) - SALVADOR (BA),21.518,20.744,42.262,34.989.684
096,RECIFE (PE) - SAO LUIS (MA),8.262,8.007,16.269,25.112.828
097,RECIFE (PE) - TERESINA (PI),12.450,11.706,24.156,26.999.161
098,RECIFE (PE) - VITORIA DA CONQUISTA (BA),1.365,1.826,3.191,3.902.771
099,SALVADOR (BA) - ARACAJU (SE),119.728,112.319,232.047,73.211.029
100,SALVADOR (BA) - CAMPINA GRANDE (PB),5.060,4.614,9.674,8.261.596
101,SALVADOR (BA) - CARUARU (PE),3.903,4.085,7.988,5.764.719
102,SALVADOR (BA) - GARANHUNS (PE),486,237,723,489.977
103,SALVADOR (BA) - JOAO PESSOA (PB),5.811,5.545,11.356,10.356.672
104,SALVADOR (BA) - JUAZEIRO DO NORTE (CE),397,314,711,710.076
105,SALVADOR (BA) - MACEIO (AL),20.150,19.212,39.362,24.126.307
106,SALVADOR (BA) - NATAL (RN),7.328,6.267,13.595,15.373.696
107,SALVADOR (BA) - PETROLINA (PE),7.917,7.048,14.965,7.657.591
108,SALVADOR (BA) - TERESINA (PI),4.904,4.264,9.168,10.327.752
109,SAO LUIS (MA) - CAMPINA GRANDE (PB),1.161,1.150,2.311,3.492.383
110,SAO LUIS (MA) - JOAO PESSOA (PB),1.363,1.334,2.697,4.404.201
111,SAO LUIS (MA) - NATAL (RN),1.345,1.237,2.582,4.637.551
112,SAO LUIS (MA) - PARNAIBA (PI),4.180,4.558,8.738,4.250.163
113,TERESINA (PI) - CAMPINA GRANDE (PB),19,80,99,107.801
114,TERESINA (PI) - JOAO PESSOA (PB),55,99,154,196.776
115,TERESINA (PI) - JUAZEIRO DO NORTE (CE),1.191,1.550,2.741,1.611.001
116,TERESINA (PI) - MACEIO (AL),570,595,1.165,1.524.519
117,TERESINA (PI) - MOSSORO (RN),130,142,272,229.205
118,TERESINA (PI) - NATAL (RN),576,532,1.108,1.507.156
119,TERESINA (PI) - PETROLINA (PE),4.803,5.987,10.790,6.808.490
120,TERESINA (PI) - SAO LUIS (MA),24.234,17.793,42.027,18.000.164
121,VITORIA DA CONQUISTA (BA) - ARACAJU (SE),3.797,3.694,7.491,5.332.094
122,VITORIA DA CONQUISTA (BA) - MACEIO (AL),1.035,1.214,2.249,2.203.208
"",NORTE,35.181,33.383,68.564,34.124.303
"",,,,,
123,PORTO VELHO (RO) - RIO BRANCO (AC),35.181,33.383,68.564,34.124.303
"",SUDESTE,3.264.112,3.178.759,6.442.871,2.683.721.612
"",,,,,
124,ARACATUBA (SP) - ARAGUARI (MG),128,112,240,129.432
125,ARACATUBA (SP) - PRES.PRUDENTE (SP),6.518,5.955,12.473,2.604.362
126,ARACATUBA (SP) - UBERLANDIA (MG),1.002,905,1.907,911.688
127,ARAGUARI (MG) - CAMPINAS (SP),1.934,1.958,3.892,2.140.211
128,BARBACENA (MG) - BARRA MANSA (RJ),1.791,2.524,4.315,1.252.213
129,BARBACENA (MG) - BRAGANCA PAULISTA (SP),505,406,911,431.996
130,BARBACENA (MG) - CABO FRIO (RJ),1.336,1.714,3.050,1.231.285
131,BARBACENA (MG) - CACHOEIRO DO ITAPEMIRIM (ES),251,267,518,224.190
132,BARBACENA (MG) - CAMPINAS (SP),4.629,4.484,9.113,5.859.659
133,BARBACENA (MG) - NITEROI (RJ),1.556,934,2.490,707.409
134,BARBACENA (MG) - RESENDE (RJ),545,358,903,291.940
135,BARBACENA (MG) - SAO JOSE DOS CAMPOS (SP),2.239,2.317,4.556,2.288.003
136,BARBACENA (MG) - VITORIA (ES),1.476,1.331,2.807,1.617.393
137,BARRA MANSA (RJ) - GOV. VALADARES (MG),845,915,1.760,1.087.504
138,BARRA MANSA (RJ) - JUIZ DE FORA (MG),15.720,16.677,32.397,6.813.089
139,BARRA MANSA (RJ) - POUSO ALEGRE (MG),934,925,1.859,507.507
140,BARRA MANSA (RJ) - SAO JOSE DOS CAMPOS (SP),2.847,3.352,6.199,1.355.721
141,BARRA MANSA (RJ) - TEOFILO OTONI (MG),380,377,757,568.810
142,BARRA MANSA (RJ) - VARGINHA (MG),3.451,2.929,6.380,1.888.382
143,BARRETOS (SP) - GOV. VALADARES (MG),22,7,29,28.568
144,BARRETOS (SP) - TEOFILO OTONI (MG),20,2,22,24.609
145,BELO HORIZONTE (MG) - ARACATUBA (SP),1.621,1.725,3.346,3.007.719
146,BELO HORIZONTE (MG) - BARRA MANSA (RJ),13.009,13.406,26.415,12.061.836
147,BELO HORIZONTE (MG) - BARRETOS (SP),4.745,5.435,10.180,6.741.196
148,BELO HORIZONTE (MG) - CABO FRIO (RJ),30.275,32.586,62.861,35.830.770
149,BELO HORIZONTE (MG) - CACHOEIRO DO ITAPEMIRIM (ES),3.653,3.326,6.979,3.440.337
150,BELO HORIZONTE (MG) - CAMPINAS (SP),35.114,36.354,71.468,44.473.908
151,BELO HORIZONTE (MG) - FRANCA (SP),6.439,6.342,12.781,5.759.119
152,BELO HORIZONTE (MG) - NITEROI (RJ),15.934,14.151,30.085,13.550.284
153,BELO HORIZONTE (MG) - PRES.PRUDENTE (SP),3.445,3.575,7.020,6.906.941
154,BELO HORIZONTE (MG) - RESENDE (RJ),661,606,1.267,620.323
155,BELO HORIZONTE (MG) - SAO JOSE DO RIO PRETO (SP),10.777,8.859,19.636,14.552.240
156,BELO HORIZONTE (MG) - SAO JOSE DOS CAMPOS (SP),8.945,8.441,17.386,10.720.044
157,BELO HORIZONTE (MG) - VITORIA (ES),52.023,49.149,101.172,53.823.504
158,BRAGANCA PAULISTA (SP) - JUIZ DE FORA (MG),1.889,924,2.813,1.329.424
159,CACHOEIRO DO ITAPEMIRIM (ES) - NITEROI (RJ),1.143,1.393,2.536,996.787
160,CACHOEIRO DO ITAPEMIRIM (ES) - SAO JOSE DOS CAMPOS (SP),180,237,417,299.224
161,CACHOEIRO DO ITAPEMIRIM (ES) - VOLTA REDONDA (RJ),465,629,1.094,545.063
162,CAMPINAS (SP) - BARRA MANSA (RJ),157,149,306,123.379
